'Dataset'|'DatasetType'|'ElementNumber'|'ElementName'|'Attribute'|
'DEMDataSet'|'element'|'dState.01'|'State Required Element'|'TIMESTAMP'|
'DEMDataSet'|'group'|'dCustomConfiguration.CustomGroup'|''|'CustomElementID'|
'DEMDataSet'|'element'|'dCustomConfiguration.01'|'Custom Data Element Title'|'nemsisElement'|
'DEMDataSet'|'element'|'dCustomConfiguration.06'|'Custom Data Element Potential Values'|'nemsisCode'|
'DEMDataSet'|'element'|'dCustomConfiguration.06'|'Custom Data Element Potential Values'|'customValueDescription'|
'DEMDataSet'|'group'|'DemographicReport'|''|'timeStamp'|
'DEMDataSet'|'element'|'dAgency.03'|'EMS Agency Name'|'NV'|
'DEMDataSet'|'group'|'dAgency.AgencyServiceGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dAgency.06'|'EMS Agency Service Area County(ies)'|'CorrelationID'|
'DEMDataSet'|'element'|'dAgency.07'|'EMS Agency Census Tracts'|'NV'|
'DEMDataSet'|'element'|'dAgency.07'|'EMS Agency Census Tracts'|'CorrelationID'|
'DEMDataSet'|'element'|'dAgency.08'|'EMS Agency Service Area ZIP Codes'|'CorrelationID'|
'DEMDataSet'|'element'|'dAgency.08'|'EMS Agency Service Area ZIP Codes'|'NV'|
'DEMDataSet'|'element'|'dAgency.10'|'Other Types of Service'|'CorrelationID'|
'DEMDataSet'|'element'|'dAgency.10'|'Other Types of Service'|'NV'|
'DEMDataSet'|'group'|'dAgency.AgencyYearGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dAgency.16'|'Total Primary Service Area Size'|'NV'|
'DEMDataSet'|'element'|'dAgency.17'|'Total Service Area Population'|'NV'|
'DEMDataSet'|'element'|'dAgency.18'|'911 EMS Call Center Volume per Year'|'NV'|
'DEMDataSet'|'element'|'dAgency.19'|'EMS Dispatch Volume per Year'|'NV'|
'DEMDataSet'|'element'|'dAgency.20'|'EMS Patient Transport Volume per Year'|'NV'|
'DEMDataSet'|'element'|'dAgency.21'|'EMS Patient Contact Volume per Year'|'NV'|
'DEMDataSet'|'element'|'dAgency.22'|'EMS Billable Calls per Year'|'NV'|
'DEMDataSet'|'element'|'dAgency.25'|'National Provider Identifier'|'NV'|
'DEMDataSet'|'element'|'dAgency.25'|'National Provider Identifier'|'CorrelationID'|
'DEMDataSet'|'element'|'dAgency.26'|'Fire Department ID Number'|'NV'|
'DEMDataSet'|'element'|'dAgency.26'|'Fire Department ID Number'|'CorrelationID'|
'DEMDataSet'|'group'|'dContact.ContactInfoGroup'|''|'CorrelationID'|
'DEMDataSet'|'element'|'dContact.01'|'Agency Contact Type'|'NV'|
'DEMDataSet'|'element'|'dContact.02'|'Agency Contact Last Name'|'NV'|
'DEMDataSet'|'element'|'dContact.03'|'Agency Contact First Name'|'NV'|
'DEMDataSet'|'element'|'dContact.05'|'Agency Contact Address'|'NV'|
'DEMDataSet'|'element'|'dContact.05'|'Agency Contact Address'|'StreetAddress2'|
'DEMDataSet'|'element'|'dContact.06'|'Agency Contact City'|'NV'|
'DEMDataSet'|'element'|'dContact.07'|'Agency Contact State'|'NV'|
